ifp_id,date,x_acf1,x_acf10,diff1_acf1,diff1_acf10,diff2_acf1,diff2_acf10,seas_acf1,ARCH.LM,crossing_points,entropy,flat_spots,arch_acf,garch_acf,arch_r2,garch_r2,alpha,beta,hurst,lumpiness,nonlinearity,x_pacf5,diff1x_pacf5,diff2x_pacf5,seas_pacf,nperiods,seasonal_period,trend,spike,linearity,curvature,e_acf1,e_acf10,seasonal_strength,peak,trough,stability,hw_alpha,hw_beta,hw_gamma,unitroot_kpss,unitroot_pp,series_length,ratio,skew
1208,2018-03-23,0.9171,4.5554,0.7797,3.5106,-0.1151,0.3728,0,0.8819,14,0.6243,4,0.0436,0.0438,0.0402,0.0401,0.9999,0.0001,0.9963,0.2019,0.0631,1.6621,0.8637,0.0682,0,0,1,0.8209,1.9103e-06,1.0453,-0.114,0.8822,4.141,0,0,0,0.324,0,0,0,0.0469,-27.5824,120,0.0010163948333124834,3.1241441551830946
1208,2018-03-24,0.9171,4.5554,0.7797,3.5106,-0.1151,0.3728,0,0.8819,14,0.6243,4,0.0436,0.0438,0.0402,0.0401,0.9999,0.0001,0.9963,0.2019,0.0631,1.6621,0.8637,0.0682,0,0,1,0.8209,1.9103e-06,1.0453,-0.114,0.8822,4.141,0,0,0,0.324,0,0,0,0.0469,-27.5824,120,0.0009647536815974987,3.1237746449846484
1208,2018-03-25,0.9171,4.5554,0.7797,3.5106,-0.1151,0.3728,0,0.8819,14,0.6243,4,0.0436,0.0438,0.0402,0.0401,0.9999,0.0001,0.9963,0.2019,0.0631,1.6621,0.8637,0.0682,0,0,1,0.8209,1.9103e-06,1.0453,-0.114,0.8822,4.141,0,0,0,0.324,0,0,0,0.0469,-27.5824,120,0.001059224905324116,3.1234612198160434
1208,2018-03-26,0.9171,4.5554,0.7797,3.5106,-0.1151,0.3728,0,0.8819,14,0.6243,4,0.0436,0.0438,0.0402,0.0401,0.9999,0.0001,0.9963,0.2019,0.0631,1.6621,0.8637,0.0682,0,0,1,0.8209,1.9103e-06,1.0453,-0.114,0.8822,4.141,0,0,0,0.324,0,0,0,0.0469,-27.5824,120,0.0010172880676356012,3.1232073954194437
1208,2018-03-27,0.9171,4.5554,0.7797,3.5106,-0.1151,0.3728,0,0.8819,14,0.6243,4,0.0436,0.0438,0.0402,0.0401,0.9999,0.0001,0.9963,0.2019,0.0631,1.6621,0.8637,0.0682,0,0,1,0.8209,1.9103e-06,1.0453,-0.114,0.8822,4.141,0,0,0,0.324,0,0,0,0.0469,-27.5824,120,0.0010282456725026507,3.123020535810448
1208,2018-03-28,0.9171,4.5554,0.7797,3.5106,-0.1151,0.3728,0,0.8819,14,0.6243,4,0.0436,0.0438,0.0402,0.0401,0.9999,0.0001,0.9963,0.2019,0.0631,1.6621,0.8637,0.0682,0,0,1,0.8209,1.9103e-06,1.0453,-0.114,0.8822,4.141,0,0,0,0.324,0,0,0,0.0469,-27.5824,120,0.0009543701762112077,3.1228985616323817
1208,2018-03-29,0.9171,4.5554,0.7797,3.5106,-0.1151,0.3728,0,0.8819,14,0.6243,4,0.0436,0.0438,0.0402,0.0401,0.9999,0.0001,0.9963,0.2019,0.0631,1.6621,0.8637,0.0682,0,0,1,0.8209,1.9103e-06,1.0453,-0.114,0.8822,4.141,0,0,0,0.324,0,0,0,0.0469,-27.5824,120,0.0010051263835415356,3.12284229104367
1208,2018-03-30,0.9171,4.5554,0.7797,3.5106,-0.1151,0.3728,0,0.8819,14,0.6243,4,0.0436,0.0438,0.0402,0.0401,0.9999,0.0001,0.9963,0.2019,0.0631,1.6621,0.8637,0.0682,0,0,1,0.8209,1.9103e-06,1.0453,-0.114,0.8822,4.141,0,0,0,0.324,0,0,0,0.0469,-27.5824,120,0.000965762957382415,3.122851760610139
1208,2018-03-31,0.9171,4.5554,0.7797,3.5106,-0.1151,0.3728,0,0.8819,14,0.6243,4,0.0436,0.0438,0.0402,0.0401,0.9999,0.0001,0.9963,0.2019,0.0631,1.6621,0.8637,0.0682,0,0,1,0.8209,1.9103e-06,1.0453,-0.114,0.8822,4.141,0,0,0,0.324,0,0,0,0.0469,-27.5824,120,0.0010063864515960608,3.1229277357769294
1208,2018-04-01,0.9171,4.5554,0.7797,3.5106,-0.1151,0.3728,0,0.8819,14,0.6243,4,0.0436,0.0438,0.0402,0.0401,0.9999,0.0001,0.9963,0.2019,0.0631,1.6621,0.8637,0.0682,0,0,1,0.8209,1.9103e-06,1.0453,-0.114,0.8822,4.141,0,0,0,0.324,0,0,0,0.0469,-27.5824,120,0.0009738081998795355,3.123066789266719
1208,2018-04-02,0.9171,4.5554,0.7797,3.5106,-0.1151,0.3728,0,0.8819,14,0.6243,4,0.0436,0.0438,0.0402,0.0401,0.9999,0.0001,0.9963,0.2019,0.0631,1.6621,0.8637,0.0682,0,0,1,0.8209,1.9103e-06,1.0453,-0.114,0.8822,4.141,0,0,0,0.324,0,0,0,0.0469,-27.5824,120,0.0010006554197946546,3.12327010111374
1208,2018-04-03,0.9171,4.5554,0.7797,3.5106,-0.1151,0.3728,0,0.8819,14,0.6243,4,0.0436,0.0438,0.0402,0.0401,0.9999,0.0001,0.9963,0.2019,0.0631,1.6621,0.8637,0.0682,0,0,1,0.8209,1.9103e-06,1.0453,-0.114,0.8822,4.141,0,0,0,0.324,0,0,0,0.0469,-27.5824,120,0.0009925443675734902,3.1235307804587964
