created_at,question_id,hfc_id,discover_id,num_options,option_1,option_2,option_3,option_4,option_5
2019-04-03 19:04:20.690203+00:00,143,3447,501,5,0.0009,0.3054,0.6769,0.0168,6.4387e-08
2019-04-03 19:02:30.690936+00:00,145,3465,499,2,0.4088,0.5912
2019-04-08 23:05:54.526892+00:00,137,3393,507,0
2019-04-08 22:18:35.414743+00:00,146,3474,498,5,0.4509,0.0116,0.0234,0.0817,0.4324
2019-04-09 21:58:53.972002+00:00,137,3393,507,0
2019-04-09 21:59:47.106624+00:00,145,3465,499,0
2019-04-10 00:20:00.995704+00:00,137,3393,507,2,0.4364,0.5636
2019-04-10 00:18:38.865064+00:00,143,3447,501,5,0.0009,0.3061,0.6763,0.0167,6.3631e-08
2019-04-10 00:20:58.371639+00:00,145,3465,499,2,0.0539,0.9460999999999999
2019-04-10 21:08:59.636800+00:00,146,3474,498,5,0.4171,0.026,0.0526,0.1789,0.3254
2019-04-10 17:25:42.874314+00:00,152,3519,524,2,0.711,0.28900000000000003
2019-04-11 22:53:15.322475+00:00,137,3393,507,2,0.4367,0.5633
2019-04-11 22:44:17.747157+00:00,143,3447,501,5,0.0008,0.303,0.6791,0.0171,6.6875e-08
2019-04-11 23:03:20.961818+00:00,145,3465,499,2,0.0539,0.9460999999999999
2019-04-11 22:44:33.966027+00:00,146,3474,498,5,0.4634,0.0146,0.0294,0.1014,0.3911
2019-04-11 23:03:00.684900+00:00,152,3519,524,2,0.7109,0.2891
2019-04-11 22:54:14.048321+00:00,153,3528,523,5,0.5951,0.1162,0.1249,0.0662,0.0976
2019-04-11 23:00:34.976871+00:00,155,3546,521,5,0.0439,0.0489,0.0669,0.1111,0.7292
2019-04-11 22:47:44.762028+00:00,158,3573,518,5,0.0366,0.3854,0.4376,0.1365,0.0038
2019-04-11 22:44:42.080239+00:00,159,3582,517,5,0.0117,0.0014,0.0015,0.0019,0.9835
2019-04-11 22:49:50.821272+00:00,160,3591,516,3,0.271,0.0368,0.6922
2019-04-11 23:14:50.543836+00:00,161,3600,515,5,0.337,0.0593,0.0618,0.0941,0.4478
2019-04-12 21:57:15.997491+00:00,137,3393,507,2,0.4369,0.5630999999999999
